Energy,Intensity,Photodiode,AI 3 Izero,I0,PD Corrected,Sample,Angle,Experiment,Bare Atom,Norm Abs,Bare Atom Step,Mass Abs.,Density Scaled,Si-subtracted
270.0,0.5274229864460177,238.1160206,0.02287488,9.6066110723505e-05,0.00018214244201003832,ps_100kd,45.0,60590,2011.3489359210967,8.027360852159646e-06,7.223331012305152,1358.9869242278016,28594.37383593844,1865.3951330237142
271.0,0.5271768210329436,242.71271724,0.02306342,9.502353342776989e-05,0.0001802498320043396,ps_100kd,45.0,60590,1986.5794258077715,7.507980512207635e-06,4.569026316364443,1271.0587615732127,28297.254738207204,1763.904972299446
272.0,0.5210328872456171,245.16524235,0.02292698,9.35164372414147e-05,0.00017948279183638296,ps_100kd,45.0,60590,1962.2045153093502,8.114170009997681e-06,2.309321235327616,1373.6832251139613,28176.837810292487,1836.9725176450374
273.0,0.5352432459307095,255.20671998,0.024253,9.503276403497782e-05,0.00017755060854570857,ps_100kd,45.0,60590,1938.216113799564,7.5552163850699824e-06,0.43612514292499327,1279.055528475394,27873.506139082918,1725.0121182601943
274.0,0.5520555254177226,264.18859778,0.02563113,9.701830516298067e-05,0.00017574012159296846,ps_100kd,45.0,60590,1914.6066295807389,7.1179590980765726e-06,-1.058153658515721,1205.0303355768465,27589.279463628074,1630.0678028184993
275.0,0.5639551461587755,273.55390147,0.02704624,9.886987483878417e-05,0.00017531513900034246,ps_100kd,45.0,60590,1891.3691891351268,8.066206171197262e-06,-2.1803886867432993,1365.5632176836234,27522.56183871205,1750.5790580725952
276.0,0.5631433234056619,279.94181008,0.02763881,9.873055401085517e-05,0.0001753204733277719,ps_100kd,45.0,60590,1868.4966084963762,9.44477016437341e-06,-2.9377639081103553,1598.9463277045993,27523.399269851096,1936.6227315377291
277.0,0.5656625882851646,284.64065447,0.02760528,9.698291360171632e-05,0.00017145011109135757,ps_100kd,45.0,60590,1845.9820229578745,6.9476375937057645e-06,-3.337144029227602,1176.1958653670683,26915.794675077785,1512.2308019494812
278.0,0.5553810585459911,287.82021835,0.02777064,9.648606397146804e-05,0.0001737294826439927,ps_100kd,45.0,60590,1823.821819607555,1.0600238812087578e-05,-3.3821419621626774,1794.5606538222892,27273.631111043986,2051.311895720806
279.0,0.5637386132251785,292.74105388,0.02807474,9.590298192855574e-05,0.0001701195903184451,ps_100kd,45.0,60590,1802.0057935121656,8.363576152286688e-06,-3.082962640168489,1415.9062785477274,26706.917447138545,1663.9018708707263
280.0,0.5632271094069776,297.80716582,0.02825703,9.488364701432018e-05,0.00016846427565289472,ps_100kd,45.0,60590,1780.5273939984945,8.081491152483002e-06,-2.446156736455123,1368.150878819948,26447.05112581048,1581.4298394665857
280.1,0.562834550584629,298.24769447,0.02843341,9.533488616073793e-05,0.00016938350010977727,ps_100kd,45.0,60590,1778.3978757285613,9.138038575940246e-06,-2.364154464648891,1547.018399509351,26591.35932476275,1743.3734985205156
280.2,0.559130151954058,298.80575222,0.02845954,9.524428425007782e-05,0.0001703436738605786,ps_100kd,45.0,60590,1776.271663250459,1.0235535293316223e-05,-2.278846401013652,1732.8184047371744,26742.096115567143,1911.7269535332962
280.3,0.5623363368013117,299.095219,0.02834037,9.475367107088395e-05,0.00016849999701222036,ps_100kd,45.0,60590,1774.1487502552175,8.529181411532673e-06,-2.190238854516565,1443.9423150538103,26452.658989036718,1639.8877220479371
280.4,0.5622556619855508,299.61997411,0.02842716,9.487738621045167e-05,0.0001687442077068668,ps_100kd,45.0,60590,1772.0291304481505,8.910715072753771e-06,-2.0983381198459483,1508.5338123468139,26490.997400559005,1695.8052861343785
280.5,0.5645668504872917,298.32529655,0.02829106,9.48329234133799e-05,0.0001679746576185393,ps_100kd,45.0,60590,1769.912797548815,8.278487951000966e-06,-2.0031504774428868,1401.501325901024,26370.186442562168,1592.5547648557622
280.6,0.5617987069334179,299.87123982,0.02848453,9.498920275614978e-05,0.00016908049374952995,ps_100kd,45.0,60590,1767.7997452909865,9.521647048566303e-06,-1.9046821935319258,1611.961150672899,26543.790635971913,1783.7007057254632
280.7,0.560250642311852,299.16465157,0.02848946,9.523003419852195e-05,0.00016997755469865954,ps_100kd,45.0,60590,1765.6899674226077,1.055603096427048e-05,-1.8029395201731404,1787.0765144845734,26684.619406301124,1942.0525607967938
280.8,0.5603863614878727,299.59009048,0.02852217,9.520398339712133e-05,0.00016988990086116084,ps_100kd,45.0,60590,1763.583457705762,1.0605700093346533e-05,-1.697928695280325,1795.4852179420714,26670.85871126523,1945.7963142784865
280.9,0.5626915761953585,299.81906676,0.028367,9.461372922859271e-05,0.0001681449185152617,ps_100kd,45.0,60590,1761.480209916626,8.998040714021968e-06,-1.5896559426785188,1523.317550965137,26396.91554357122,1689.3389853238077
281.0,0.5614449448407629,300.18580688,0.02833149,9.437984525139653e-05,0.00016810169210476115,ps_100kd,45.0,60590,1759.3802178454418,9.092137270096129e-06,-1.478127472123333,1539.2475672774408,26390.129469288928,1700.020166401966
281.1,0.559077070627128,300.92129251,0.02872073,9.544266462648393e-05,0.00017071468253817667,ps_100kd,45.0,60590,1757.2834752964861,1.1842450670086345e-05,-1.3633494793405134,2004.8601162772347,26800.340425386115,2127.6798208332293
281.2,0.5575251599213861,300.80968095,0.02821528,9.379777908374528e-05,0.00016823954473547213,ps_100kd,45.0,60590,1755.1899760880087,9.504635833956445e-06,-1.2453281460802827,1609.0812479694082,26411.770826532837,1756.5403895934542
